Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
Wol,noun,WO,wall,wol,equation,,
Wolq,verb,WOq,wallth,wolθ,condense,,
Wolv,noun,WOv,wallv,wolv,comb,bathroom,home
Wom,verb,Wom,wom,wom,"farm, raise (pets, kids, food)",,
Won,noun,Won,won,won,gate,,
Wop,noun,Wop,wop,wop,hagfish,,
Woq,noun,Woq,woth,woθ,arrow (for a bow),,
WoQ,noun,WoQ,wodth,woð,"story, tale",,
Wor,noun,WS,war,war,tapir,,
WorD,noun,WSD,wardz,warẓ,spiral,,
Worf,noun,WSf,warf,warf,bark (communing expression),,
Worj,noun,WSj,warch,warč,antenna/e,biology,science
WorJ,noun,WSJ,warj,warj,ant,zoology,science
Worn,noun,WSn,warn,warn,mentor,,
Woy,verb,WZ,wii,wī,"shapeshift, shift-to, transform",,
Woyf,noun,WZf,wiif,wīf,uniform,,
WoyN,noun,WZN,wiing,wīŋ,gills,,
Woys,noun,WZs,wiis,wīs,November,,
WoyT,noun,WZT,wiits,wīṣ,fan (wind),,
Woyz,noun,WZz,wiiz,wīz,pineapple,,
Woz,noun,Woz,woz,woz,handshake,,
Wr,noun,Wr,wur,wur,yes,,
WrD,noun,WrD,wurdz,wurẓ,herbivore,,
Wrf,noun,Wrf,wurf,wurf,sudden-ness,,
WrH,noun,WrH,wurkhh,wurħ,hunger,food,
WrJ,noun,WrJ,wurj,wurj,devil,,
Wrj,noun,Wrj,wurch,wurč,gravity,,
Wrm,noun,Wrm,wurm,wurm,"completeness, wholeness",,
Wrn,noun,Wrn,wurn,wurn,circle,,
WrN,noun,WrN,wurng,wurŋ,moan (pleasure expression),,
Wrq,noun,Wrq,wurth,wurθ,elm,,
Wrs,noun,Wrs,wurs,wurs,meteor,,
Wu,preposition,Wu,wuh,wu,left,preposition,grammar
Wuj,preposition,Wuj,wuhch,wuč,right,preposition,grammar
Wul,unary suffix,WU,wul,wul,sort-of,unary suffix,grammar
Wuls,noun,WUs,wuls,wuls,cloud,,
Wulv,noun,WUv,wulv,wulv,block (city),,
WuX,verb,WuX,wuhzh,wuž,"aim, set-goal",,
WuXr,compound preposition,WuXr,wuh-zhur,wu-žur,"center-of, central-to",,
Ww,pronoun,Ww,wooh,wü,"it, pronoun",pronoun,grammar
Ww(*),pronoun,Ww(*),wooh*,wü(*),it (specific),pronoun,grammar
Wy,pronoun,Wy,wee,wē,me,pronoun,grammar
WyD,noun,WyD,weedz,wēẓ,diving,,
Wyf,noun,Wyf,weef,wēf,"jail, prison",,
Wyk,noun,Wyk,week,wēk,squeaking-sound,,
WyQ,noun,WyQ,weedth,wēð,menu,,
Wyq,noun,Wyq,weeth,wēθ,mudskipper,,
WyT,verb,WyT,weets,wēṣ,decelerate,,
Wyx,pronoun,Wyx,weesh,wēš,self,pronoun,grammar
Xa,noun,Xa,zha,ža,stability,,
xa,noun,xa,sha,ša,star,,
xal,noun,xA,shal,šal,water,essentials,
Xal,noun,XA,zhal,žal,cinnamon,,
xalD,verb,xAD,shaldz,šalẓ,boil,kitchen,home
xalf,noun,xAf,shalf,šalf,ghoul,,
Xals,noun,XAs,zhals,žals,labia (inner),,
xals,noun,xAs,shals,šals,labia (outer),,
Xalx,noun,XAx,zhalsh,žalš,derivative,,
xalz,noun,xAz,shalz,šalz,football,,
XaN,noun,XaN,zhang,žaŋ,forest,,
xas,noun,xas,shas,šas,secret,,
xaT,noun,xaT,shats,šaṣ,here (this location),,
XaT,noun,XaT,zhats,žaṣ,rocket,,
xav,verb,xav,shav,šav,shave,bathroom,home
Xav,noun,Xav,zhav,žav,block (toy),,
xaw,noun,xC,shauw,šow,falling,,
xawD,noun,xCD,shauwdz,šowẓ,physics,,
Xawf,verb,XCf,zhauwf,žowf,define,,
xawf,noun,xCf,shauwf,šowf,"radio, receiver, tuner",,
xawj,noun,xCj,shauwch,šowč,mist (substance),,
xawk,verb,xCk,shauwk,šowk,disapprove-of,,
xawp,verb,xCp,shauwp,šowp,sneak,,
xax,noun,xax,shash,šaš,mortality,,
xaX,noun,xaX,shazh,šaž,train (locomotive),,
Xaz,noun,Xaz,zhaz,žaz,worm,,
xc,verb suffix,xc,shuo,šø,should,verb suffix,grammar
xcD,noun,xcD,shuodz,šøẓ,phoenix,,
xcH,noun,xcH,shuokhh,šøħ,disorder (mental),,
Xck,noun,Xck,zhuok,žøk,method,,
xcN,verb,xcN,shuong,šøŋ,type,,
xcp,noun,xcp,shuop,šøp,ermine,,
xcT,verb,xcT,shuots,šøṣ,"accomplish, achieve",,
Xcv,noun,Xcv,zhuov,žøv,Monday,,
xcx,noun,xcx,shuosh,šøš,silence,perception,emotion
xcz,verb,xcz,shuoz,šøz,"disturb, violate",,
xe,verb,xe,sheh,še,drive,,
xef,noun,xef,shehf,šef,fog,,
xel,noun,xE,shel,šel,rose (flower),,
xelf,noun,xEf,shelf,šelf,wombat,,
xelJ,noun,xEJ,shelj,šelj,armadillo,zoology,science
Xelj,noun,XEj,zhelch,želč,trauma,,
Xelk,noun,XEk,zhelk,želk,gum (of teeth),,
xelq,verb,xEq,shelth,šelθ,lower,,
Xelx,noun,XEx,zhelsh,želš,peach (fruit),,
xelz,noun,xEz,shelz,šelz,randomness,,
XeN,verb,XeN,zhehng,žeŋ,clean-up,bathroom,home
xen,noun,xen,shehn,šen,supernova,,
xeQ,noun,xeQ,shehdth,šeð,buckle,,
Xer,noun,XP,zhair,žār,cyborg,,
xer,noun,xP,shair,šār,silk,,
xerD,noun,xPD,shairdz,šārẓ,mold (life-form),,
Xerk,noun,XPk,zhairk,žārk,"cruelty, meanness",,
xerm,noun,xPm,shairm,šārm,median (arithmetic),,
Xern,noun,XPn,zhairn,žārn,alphabet,,
xerp,noun,xPp,shairp,šārp,life (the course of one's life),,
xerp su Hawx,compound noun,xPp su HCx,shairp s'khhauwsh,šārp sᵘħowš,death,,
xerq,noun,xPq,shairth,šārθ,period,,
xerX,noun,xPX,shairzh,šārž,intensity,,
Xes,noun,Xes,zhehs,žes,rabbit,,
xeT,verb,xeT,shehts,šeṣ,tolerate,,
xex,noun,xex,shehsh,šeš,squid,,
xey,verb,xF,shay,šā,be-named,,
Xey,noun,XF,zhay,žā,corn,,
xeyk,noun,xFk,shayk,šāk,drill,,
Xeys,noun,XFs,zhays,žās,"incubus, succubus",,
xgl,noun,xG,shohl,šōl,"column, pillar, stack",,
xglD,noun,xGD,shohldz,šōlẓ,game,,
Xglm,noun,XGm,zhohlm,žōlm,obesity,,
xglm,noun,xGm,shohlm,šōlm,pool,,
Xgln,noun,XGn,zhohln,žōln,pastel,,
Xglq,noun,XGq,zhohlth,žōlθ,hawk,,
xgls,noun,xGs,shohls,šōls,swimming,,
XglT,noun,XGT,zhohlts,žōlṣ,chain,,
xglz,verb,xGz,shohlz,šōlz,"celebrate, rejoice",,
Xgr,noun,Xb,zhoar,žōr,bread,food,
xgr,noun,xb,shoar,šōr,factory,,
Xgr su QuTuX,compound noun,Xb su QuTuX,zhoar s'dth'tsuhzh,žōr sᵘðᵘṣuž,toast,,
xgrs,noun,xbs,shoars,šōrs,"gadget, machine",,
xgrz,noun,xbz,shoarz,šōrz,"cabbage, lettuce",food,
Xgw,noun,Xg,zhohw,žō,April,calendar system,proper nouns
Xgwj,noun,Xgj,zhohwch,žōč,adaptability,,
Xgwp,noun,Xgp,zhohwp,žōp,"leftovers, remainder",,
xgwq,noun,xgq,shohwth,šōθ,birch,,
xgwQ,noun,xgQ,shohwdth,šōð,era,,
Xgwq,noun,Xgq,zhohwth,žōθ,"pole, post",,
Xgws,verb,Xgs,zhohws,žōs,parasite-upon,,
xgwv,noun,xgv,shohwv,šōv,speech (vocal communication),,
Xgwz,noun,Xgz,zhohwz,žōz,mesa,,
Xgy,noun,XB,zhoi,žoi,burrow,,
xgy,noun,xB,shoi,šoi,fox,,
xgyD,noun,xBD,shoidz,šoiẓ,pebble,,
Xgyk,noun,XBk,zhoik,žoik,neighbor,,
Xgyp,noun,XBp,zhoip,žoip,sauropod,,
Xgys,noun,XBs,zhois,žois,egg,,
xgys,verb,xBs,shois,šois,"mash, squish",,
Xgyz,noun,XBz,zhoiz,žoiz,radioactivity,,
xi,noun,xi,shih,ši,dough,,
xil,verb,xI,shil,šil,mug,,
Xilf,noun,XIf,zhilf,žilf,corpse,,
xilj,noun,xIj,shilch,šilč,castle,,
xilN,noun,xIN,shilng,šilŋ,iris,,
xiln,noun,xIn,shiln,šiln,Winter,,
xils,noun,xIs,shils,šils,feces,,
xilT,verb,xIT,shilts,šilṣ,carry,,
xilv,noun,xIv,shilv,šilv,"job, profession",,
Xilv,noun,XIv,zhilv,žilv,sport,,
xilz,noun,xIz,shilz,šilz,area (amount of 2d space),geometry,mathematics
Xilz,verb,XIz,zhilz,žilz,climb,,
xiN,noun,xiN,shihng,šiŋ,coffin,,
xin,noun,xin,shihn,šin,sitting,,
XiN,noun,XiN,zhihng,žiŋ,viscosity,,
xip,noun,xip,shihp,šip,ankylosaur,paleontology,science
xiq,noun,xiq,shihth,šiθ,window,,
xirD,noun,xVD,sheerdz,šērẓ,bark (tree),biology,science
xirf,noun,xVf,sheerf,šērf,walrus,,
xirJ,noun,xVJ,sheerj,šērj,convention (event),,
Xirj,noun,XVj,zheerch,žērč,ornithopod,,
Xirk,noun,XVk,zheerk,žērk,chalk,,
Xirm,noun,XVm,zheerm,žērm,skull,,
Xirn,verb,XVn,zheern,žērn,"admit, confess",,
xirQ,verb,xVQ,sheerdth,šērð,torture,,
xirq,noun,xVq,sheerth,šērθ,wren,,
xirs,noun,xVs,sheers,šērs,hell,,
xirx,noun,xVx,sheersh,šērš,hairbrush,bathroom,home
XiT,noun,XiT,zhihts,žiṣ,ice cream,,
xiv,verb,xiv,shihv,šiv,"dirty, mess-up",,
xix,noun,xix,shihsh,šiš,smoke,,
xoD,noun,xoD,shodz,šoẓ,nitrogen,,
Xok,verb,Xok,zhok,žok,"hammer, pound",,
xok,verb,xok,shok,šok,sting,,
xol,noun,xO,shall,šol,clitoris,,
Xol,noun,XO,zhall,žol,pocket,,
Xolf,verb,XOf,zhallf,žolf,"caution, warn",,
xolH,noun,xOH,shallkhh,šolħ,concrete,,
xolk,noun,xOk,shallk,šolk,"fissure, ravine",,
xoln,noun,xOn,shalln,šoln,turtle,,
Xolp,noun,XOp,zhallp,žolp,raven,,
xols,noun,xOs,shalls,šols,code,,
xolT,noun,xOT,shallts,šolṣ,liquor,,
xolv,noun,xOv,shallv,šolv,"ghost, soul, spirit",,
Xom,verb,Xom,zhom,žom,"bleed, lose (substance)",,
xoN,noun,xoN,shong,šoŋ,destination,,
xoN,noun,xoN,shong,šoŋ,sap,,
Xor,noun,XS,zhar,žar,gerbil,,
xor,verb,xS,shar,šar,value,,
xorf,noun,xSf,sharf,šarf,fennec,,
xorJ,noun,xSJ,sharj,šarj,charisma,,
xorj,verb,xSj,sharch,šarč,"lift, pick-up, raise",,
Xorj,noun,XSj,zharch,žarč,specimen,,
Xorp,verb,XSp,zharp,žarp,assemble,,
xorp,noun,xSp,sharp,šarp,wrinkle,,
xorT,verb,xST,sharts,šarṣ,"mangle, mutilate",,
Xorz,verb,XSz,zharz,žarz,"condole, sympathize-with",,
xos,noun,xos,shos,šos,"item, unit",,
XoT,verb,XoT,zhots,žoṣ,"break, ruin",,
xoy,numerical term,xZ,shii,šī,eleven,numerical,mathematics
Xoyk,noun,XZk,zhiik,žīk,table,home,home
xoym,noun,xZm,shiim,šīm,leech,,
xoyn,verb,xZn,shiin,šīn,nuzzle,,
xoyp,noun,xZp,shiip,šīp,hair (underarm),,
Xoyq,noun,XZq,zhiith,žīθ,brick (substance),,
xoys,noun,xZs,shiis,šīs,milk,,
Xoys,noun,XZs,zhiis,žīs,potato,,
xoyz,noun,xZz,shiiz,šīz,stress (emotional),,
Xr,unary suffix,Xr,zhur,žur,lacking,unary suffix,grammar
xr,verb,xr,shur,šur,see,,
xrD,noun,xrD,shurdz,šurẓ,"bulletin, notice",,
XrD,verb,XrD,zhurdz,žurẓ,"notice, pay-attention-to",,
Xrf,verb,Xrf,zhurf,žurf,"erase, snuff",,
xrH,noun,xrH,shurkhh,šurħ,feather,,
xrj,verb,xrj,shurch,šurč,appear-like,,
XrJ,noun,XrJ,zhurj,žurj,impression (mental or social),,
xrJ,noun,xrJ,shurj,šurj,impression (physical mark),,
Xrk,noun,Xrk,zhurk,žurk,eye,,
xrm,verb,xrm,shurm,šurm,observe,,
Xrn,noun,Xrn,zhurn,žurn,cherry,,
XrN,noun,XrN,zhurng,žurŋ,grasshopper,,
xrp,noun,xrp,shurp,šurp,mink,,
xrq,noun,xrq,shurth,šurθ,bullet,,
xrQ,noun,xrQ,shurdth,šurð,crab,,
xrs,verb,xrs,shurs,šurs,"compress, flatten, press",,
Xrs,verb,Xrs,zhurs,žurs,"glow, illuminate, shine",,
xrT,verb,xrT,shurts,šurṣ,"calculate, reason",,
xrx,noun,xrx,shursh,šurš,flatness,,
XrX,noun,XrX,zhurzh,žurž,tingling,,
xrz,noun,xrz,shurz,šurz,"spandex, stretch material",,
Xu,prepositional prefix,Xu,zhuh,žu,"both (+containing, if implied)",prep prefix,grammar
xu,prepositional prefix,xu,shuh,šu,"phrase (+containing, if implied)",prep prefix,grammar
xuf,noun,xuf,shuhf,šuf,hag (mythical),,
XuH,noun,XuH,zhuhkhh,žuħ,kitsune,,
Xuj,prepositional contraction,Xuj,zhuhch,žuč,both+member-of (contraction),preposition,grammar
xuj,prepositional contraction,xuj,shuhch,šuč,phrase+member-of (contraction),preposition,grammar
Xul,noun,XU,zhul,žul,"branch, stem",biology,science
xul,noun,xU,shul,šul,softness,,
xulf,noun,xUf,shulf,šulf,zoo,,
xulj,noun,xUj,shulch,šulč,lip,,
Xulk,verb,XUk,zhulk,žulk,realize,,
xulp,verb,xUp,shulp,šulp,serve (recipient),,
xulQ,noun,xUQ,shuldth,šulð,"blame, responsibility (blame)",,
Xulq,noun,XUq,zhulth,žulθ,polygon,,
Xulz,noun,XUz,zhulz,žulz,monetary-interest,,
xuN,noun,xuN,shuhng,šuŋ,beetle,zoology,science
XuN,noun,XuN,zhuhng,žuŋ,scarab,,
Xup,noun,Xup,zhuhp,žup,icing,,
xuq,noun,xuq,shuhth,šuθ,January,,
Xuq,verb,Xuq,zhuhth,žuθ,suck-on,,
xus,noun,xus,shuhs,šus,loneliness,,
Xus,noun,Xus,zhuhs,žus,washer (for screw),,
XuT,noun,XuT,zhuhts,žuṣ,yesterday,,
xuz,noun,xuz,shuhz,šuz,anus,anatomy,science
xw,verb,xw,shooh,šü,become,,
Xw,verb,Xw,zhooh,žü,create,,
xw su (*),compound verb,xw su (*),shooh s'*,šü sᵘ(*),trans(*)  (to become *),,
xwf,noun,xwf,shoohf,šüf,sleep,bedroom,home
Xwf,noun,Xwf,zhoohf,žüf,iron,,
XwJ,noun,XwJ,zhoohj,žüj,crisis,,
Xwj,verb,Xwj,zhoohch,žüč,destroy,,
xwj,noun,xwj,shoohch,šüč,patio,,
xwk,noun,xwk,shoohk,šük,dandruff,,
Xwk,noun,Xwk,zhoohk,žük,helmet,,
xwN,verb,xwN,shoohng,šüŋ,"expand, grow, swell",,
XwN,noun,XwN,zhoohng,žüŋ,vampyre,,
Xwq,noun,Xwq,zhoohth,žüθ,closet,,
xwv,noun,xwv,shoohv,šüv,apathy,,
xwx,noun,xwx,shoohsh,šüš,speed,,
Xwx,verb,Xwx,zhoohsh,žüš,sustain,,
Xwz,noun,Xwz,zhoohz,žüz,bone,anatomy,science
xwz,noun,xwz,shoohz,šüz,shrew,,
xy,preposition,xy,shee,šē,above,preposition,grammar
Xy,unary suffix,Xy,zhee,žē,extreme,unary suffix,grammar
xyf,noun,xyf,sheef,šēf,business (enterprise),,
xyj,preposition,xyj,sheech,šēč,below,preposition,grammar
xyk,verb,xyk,sheek,šēk,preach,,
Xym,noun,Xym,zheem,žēm,logic,,
xyp,noun,xyp,sheep,šēp,lake,,
xyp su hulq,compound noun,xyp su hUq,sheep s'hulth,šēp sᵘhulθ,"ocean, sea",,
xys,noun,xys,shees,šēs,"breeze, wind",,
Xys,verb,Xys,zhees,žēs,obey,,
xysy,compound preposition,xysy,shee-see,šē-sē,on top of,,
xyT,noun,xyT,sheets,šēṣ,"loudness, volume",,
XyT,noun,XyT,zheets,žēṣ,security,,
XyX,noun,XyX,zheezh,žēž,altitude,,
xyXr,compound preposition,xyXr,shee-zhur,šē-žur,"level with, on par with",,
Ya,noun,Ya,ya,ya,scruffiness,,
YaD,noun,YaD,yadz,yaẓ,"commonality, generality",,
Yaf,noun,Yaf,yaf,yaf,dungeon,,
YaH,noun,YaH,yakhh,yaħ,yawn,,
Yal,noun,YA,yal,yal,jaguar,,
Yalq,verb,YAq,yalth,yalθ,worsen,,
Yalz,noun,YAz,yalz,yalz,tiger,,
Yam,noun,Yam,yam,yam,mouse (animal),,
Yas,noun,Yas,yas,yas,tyrannosaur,,
YaT,noun,YaT,yats,yaṣ,"certainty, likelihood, probability",,
Yaw,noun,YC,yauw,yow,groan (pain expression),,
YawD,noun,YCD,yauwdz,yowẓ,Friday,,
Yawf,noun,YCf,yauwf,yowf,affordability,,
Yawj,noun,YCj,yauwch,yowč,torch,,
Yawk,verb,YCk,yauwk,yowk,"choke, strangle",,
Yawm,noun,YCm,yauwm,yowm,spiciness,,
Yawq,noun,YCq,yauwth,yowθ,"dinner, supper",,
Yawv,noun,YCv,yauwv,yowv,flamingo,,
Yawx,noun,YCx,yauwsh,yowš,army,,
YawX,noun,YCX,yauwzh,yowž,polish (to make shine),,
Yawz,verb,YCz,yauwz,yowz,split-apart-from,,
Yc,noun,Yc,yuo,yø,convex-ness,,
Ycf,verb,Ycf,yuof,yøf,"declare, proclaim",,
Ycj,noun,Ycj,yuoch,yøč,"cavity, concave-ness",,
Yej,noun,Yej,yehch,yeč,page (of document),,
YeJ,noun,YeJ,yehj,yej,saccharin,,
Yelm,noun,YEm,yelm,yelm,opportunity,,
Yeln,noun,YEn,yeln,yeln,sweater,,
Yelp,noun,YEp,yelp,yelp,bag,,
YelT,noun,YET,yelts,yelṣ,pollen,,
Yelx,noun,YEx,yelsh,yelš,"enough, sufficiency",,
Yer,noun,YP,yair,yār,volume (amount of 3d space),,
Yerf,noun,YPf,yairf,yārf,liter,,
Yerj,noun,YPj,yairch,yārč,gorilla,,
Yerm,noun,YPm,yairm,yārm,mole (skin growth),,
Yern,verb,YPn,yairn,yārn,"filter, screen, sift",,
YerN,noun,YPN,yairng,yārŋ,mustache,,
Yerp,noun,YPp,yairp,yārp,"brand, kind, type",,
YerT,noun,YPT,yairts,yārṣ,"duty, responsibility (duty)",,
Yerx,noun,YPx,yairsh,yārš,dictatorship,,
YeT,noun,YeT,yehts,yeṣ,seal (covering),,
Yex,noun,Yex,yehsh,yeš,seal (animal),,
Yeyf,noun,YFf,yayf,yāf,cracker,,
Yeyj,noun,YFj,yaych,yāč,vector,,
Yeym,noun,YFm,yaym,yām,termite,,
Yeyp,noun,YFp,yayp,yāp,soda-pop,,
Yeyv,noun,YFv,yayv,yāv,towel,bathroom,home
Yeyz,noun,YFz,yayz,yāz,"rock, stone",,
Yglf,noun,YGf,yohlf,yōlf,defense,,
YglJ,noun,YGJ,yohlj,yōlj,anteater,zoology,science
Yglk,noun,YGk,yohlk,yōlk,"aunt, uncle",,
Yglp,noun,YGp,yohlp,yōlp,tropical-area,,
Yglx,noun,YGx,yohlsh,yōlš,albedo,astronomy,science
Ygr,noun,Yb,yoar,yōr,food,food,
YgrD,noun,YbD,yoardz,yōrẓ,motorcycle,,
Ygrf,noun,Ybf,yoarf,yōrf,commitment,,
Ygrk,noun,Ybk,yoark,yōrk,"sex, sexuality (physiological)",,
YgrT,noun,YbT,yoarts,yōrṣ,neutrality,,
Ygw,numerical term,Yg,yohw,yō,five,numerical,mathematics
YgwD,noun,YgD,yohwdz,yōẓ,cell (biological),biology,science
YgwD,noun,YgD,yohwdz,yōẓ,mantis,,
Ygwf,noun,Ygf,yohwf,yōf,"chip, slice",,
Ygwj,noun,Ygj,yohwch,yōč,selfishness,,
Ygwk,noun,Ygk,yohwk,yōk,gender,,
Ygwn,verb,Ygn,yohwn,yōn,cross-dress,,
Ygws,noun,Ygs,yohws,yōs,confidence,,
Ygwx,verb,Ygx,yohwsh,yōš,intervene,,
Ygwz,noun,Ygz,yohwz,yōz,parsimony,,
Ygy,noun,YB,yoi,yoi,gull,,
YgyD,noun,YBD,yoidz,yoiẓ,"buggy, cart, wagon",transportation,daily life
Ygyp,noun,YBp,yoip,yoip,"ma'am, sir",,
Ygyq,noun,YBq,yoith,yoiθ,knee,,
Ygyv,noun,YBv,yoiv,yoiv,reindeer,,
Ygyx,verb,YBx,yoish,yoiš,"rotate, spin, turn, twist",,
Yi,preposition,Yi,yih,yi,around,preposition,grammar
Yif,verb,Yif,yihf,yif,"make-love-to, yiff",,
Yif su DawjXr,compound noun,Yif su DCjXr,yihf s'dzauwch-zhur,yif sᵘẓowč-žur,rape,,
Yij,preposition,Yij,yihch,yič,by-way-of,preposition,grammar
Yijlw,compound preposition,Yijlw,yihch-looh,yič-lü,through,,
Yik,noun,Yik,yihk,yik,gnat,,
Yil,verb,YI,yil,yil,"abuse, misuse",,
YilD,noun,YID,yildz,yilẓ,police officer,,
Yilv,noun,YIv,yilv,yilv,skipping,,
YiN,noun,YiN,yihng,yiŋ,writing-board,,
Yirj,noun,YVj,yeerch,yērč,forehead,,
Yirk,verb,YVk,yeerk,yērk,punch,,
Yirm,noun,YVm,yeerm,yērm,dimension (otherworldly),,
YirT,noun,YVT,yeerts,yērṣ,iceberg,,
Yixy,compound preposition,Yixy,yih-shee,yi-šē,over the top of,,
YixyWu,compound preposition,YixyWu,yih-shee-wuh,yi-šē-wu,counter-clockwise from,,
YixyWuj,compound preposition,YixyWuj,yih-shee-wuhch,yi-šē-wuč,clockwise-from,,
Yolf,noun,YOf,yallf,yolf,spleen,,
YolJ,noun,YOJ,yallj,yolj,love (romantic or intimate),,
Yolj,noun,YOj,yallch,yolč,relationship (romantic),,
Yols,noun,YOs,yalls,yols,dryer (clothes),,
Yolv,noun,YOv,yallv,yolv,lime,,
Yor,verb,YS,yar,yar,"analyze, appraise, assess",,
Yorj,verb,YSj,yarch,yarč,"knit, sew",,
YorJ,noun,YSJ,yarj,yarj,muscle,,
Yorn,noun,YSn,yarn,yarn,crop (part of bird),,
Yox,noun,Yox,yosh,yoš,breast (female),anatomy,science
Yoy,noun,YZ,yii,yī,solid,,
Yoyn,verb,YZn,yiin,yīn,think-words,,
Yoyq,noun,YZq,yiith,yīθ,relevance,,
YoyT,verb,YZT,yiits,yīṣ,monitor,,
YoyX,noun,YZX,yiizh,yīž,tongue,,
Yr,numerical term,Yr,yur,yur,radix-point,numerical,mathematics
Yrf,noun,Yrf,yurf,yurf,solar system,,
YrH,noun,YrH,yurkhh,yurħ,elephant,,
Yrj,noun,Yrj,yurch,yurč,parrot,,
Yu,conjunction,Yu,yuh,yu,and-or,preposition,grammar
Yuj,conjunction,Yuj,yuhch,yuč,not-both,preposition,grammar
Yul,noun,YU,yul,yul,"love (general), altruism, goodness",,
Yulf,noun,YUf,yulf,yulf,swirl,,
YulJ,noun,YUJ,yulj,yulj,"county, jurisdiction",,
Yulj,noun,YUj,yulch,yulč,joke,,
YulJw,compound noun,YUJw,yul-jooh,yul-jü,hatred,,
Yulq,verb,YUq,yulth,yulθ,"tuck, weave",,
Yulv,noun,YUv,yulv,yulv,lava,,
Yulx,verb,YUx,yulsh,yulš,remember,,
Yulz,noun,YUz,yulz,yulz,blouse,,
YuN,noun,YuN,yuhng,yuŋ,crayon,,
Yun,noun,Yun,yuhn,yun,pajamas,,
Yuq,noun,Yuq,yuhth,yuθ,philosophy,,
YuQ,noun,YuQ,yuhdth,yuð,shoelace,,
Yus,noun,Yus,yuhs,yus,noon,,
Yuv,noun,Yuv,yuhv,yuv,hyperbola,,
Yw,pronoun,Yw,yooh,yü,you,pronoun,grammar
Ywf,noun,Ywf,yoohf,yüf,naiveté,,
YwH,noun,YwH,yoohkhh,yüħ,lichen,,
YwT,noun,YwT,yoohts,yüṣ,banana,food,
Yy,pronoun,Yy,yee,yē,that,pronoun,grammar
Yyf,verb,Yyf,yeef,yēf,"chase, pursue",,
Yyj,noun,Yyj,yeech,yēč,ear,,
Yym,noun,Yym,yeem,yēm,"break, recess",,
Yyq,verb,Yyq,yeeth,yēθ,forget,,
Yys,verb,Yys,yees,yēs,"claw, cleave, cut, slice",,
YyT,noun,YyT,yeets,yēṣ,status,,
Yyx,verb,Yyx,yeesh,yēš,pause,,
Yyz,noun,Yyz,yeez,yēz,mouth,,
zalf,noun,zAf,zalf,zalf,chin,,
zalk,noun,zAk,zalk,zalk,"cable, cord, wire",,
zalm,noun,zAm,zalm,zalm,under-shorts,,
zan,verb,zan,zan,zan,cheat,,
zap,noun,zap,zap,zap,"endurance, stamina",,
zaQ,noun,zaQ,zadth,zað,crane (animal),,
zaq,verb,zaq,zath,zaθ,straighten,,
zawf,verb,zCf,zauwf,zowf,"drill, screw",,
zawJ,verb,zCJ,zauwj,zowj,report-on,,
zawn,noun,zCn,zauwn,zown,purity,,
zawq,noun,zCq,zauwth,zowθ,dragonfly,,
zaX,noun,zaX,zazh,zaž,"anger, rage",,
zc,noun,zc,zuo,zø,"heat, horniness, yiffiness (sex)",,
zcj,verb,zcj,zuoch,zøč,"tilt, tip-over, unsteady",,
zcm,noun,zcm,zuom,zøm,"mat, rug",,
zcn,noun,zcn,zuon,zøn,"aqua, cyan (color)",colors,
zcn su feJ,compound noun,zcn su feJ,zuon s'fehj,zøn sᵘfej,ocean blue,,
zcn su saw,compound noun,zcn su sC,zuon s'sauw,zøn sᵘsow,sky blue (color),,
zcq,noun,zcq,zuoth,zøθ,truck,,
zcT,verb,zcT,zuots,zøṣ,"cast, cure",,
zej,noun,zej,zehch,zeč,muskrat,,
zel,noun,zE,zel,zel,atmosphere,,science
zelf,verb,zEf,zelf,zelf,"channel, direct, pour",,
zelj,noun,zEj,zelch,zelč,chipmunk,,
zelk,noun,zEk,zelk,zelk,"necessity, requirement",social,social
zeln,noun,zEn,zeln,zeln,porcupine,,
zelp,noun,zEp,zelp,zelp,nunchaku,,
zelx,noun,zEx,zelsh,zelš,squirrel,,
zer,noun,zP,zair,zār,"life-form, organism",,
zerJ,verb,zPJ,zairj,zārj,"barter, exchange, trade",,
zerm,noun,zPm,zairm,zārm,culture,,
zers,noun,zPs,zairs,zārs,divorce,,
zerx,verb,zPx,zairsh,zārš,"frost, paint, smear",,
zey,noun,zF,zay,zā,"assortment, potpourri",,
zeyf,verb,zFf,zayf,zāf,"defeat, succeed-against",,
zeyj,verb,zFj,zaych,zāč,"lose-to, succumb-to",,
zeym,noun,zFm,zaym,zām,shadow,,
zeyn,noun,zFn,zayn,zān,"peak, tip",,
zeyv,noun,zFv,zayv,zāv,polyhedron,,
zeyz,noun,zFz,zayz,zāz,mint,,
zgl,noun,zG,zohl,zōl,soreness,,
zglf,noun,zGf,zohlf,zōlf,beard,,
zglm,noun,zGm,zohlm,zōlm,collar,,
zgln,noun,zGn,zohln,zōln,tweezers,,
zglq,noun,zGq,zohlth,zōlθ,"design, format",,
zglQ,verb,zGQ,zohldth,zōlð,flee-from,,
zgls,noun,zGs,zohls,zōls,menstruation,,
zglT,noun,zGT,zohlts,zōlṣ,hair (body),,
zglX,noun,zGX,zohlzh,zōlž,relativity,,
zgr,noun,zb,zoar,zōr,hourglass,,
zgrm,noun,zbm,zoarm,zōrm,"muffin, roll",,
zgrq,verb,zbq,zoarth,zōrθ,qualify-for,,
zgw,noun,zg,zohw,zō,"destiny, fate",,
